type	by	post_message	picture	link	link_domain	post_published	post_published_unix	likes	likes_count_fb	comments_all	comments_base	comments_replies	shares	comment_likes	engagement	post_id	post_link
photo	post_page_240383372683895	A cidade de Vitória começará a passar por importantes transformações em sua infraestrutura_ determinantes para a melhoria da mobilidade na Região Metropolitana_ mas que a tornarão ainda mais bela. E hoje receberemos a imprensa para lançar o edital de licitação da primeira etapa das obras do Complexo Viário Portal do Príncipe. A chegada sul da capital_ na área da Ilha do Príncipe_ Vila Rubim e Santo Antônio mudará para melhor_ com obras já preparadas para receber o BRT e conectadas ao conceito da quarta ponte. Mais tarde_ os capixabas poderão ver os detalhes em nossos canais na internet e nos principais jornais_ rádios e TVs do Estado.	https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-prn2/1457737_584460711609491_556560960_s.jpg	https://www.facebook.com/photo.php?fbid=584460711609491&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-21T11:24:46+0000	1385033086	145		17	17	0	37	15	214	240383372683895_584460718276157	https://www.facebook.com/240383372683895/posts/584460718276157
photo	post_page_240383372683895	Itararé será o primeiro bairro de Vitória a receber parte das 100 câmeras de videomonitoramento adquiridas pelo Governo do Estado destinadas à Capital. Ao todo_ serão 1.000 unidades_ que também chegarão a outras regiões para contribuir com o trabalho das prefeituras e fortalecer nossa rede de proteção social. Amanhã também daremos ordem de serviço para uma nova unidade da Polícia Militar_ no Bairro da Penha.	https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-prn2/1471396_583757841679778_1111341250_s.jpg	https://www.facebook.com/photo.php?fbid=583757841679778&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-20T00:22:50+0000	1384906970	157		8	8	0	25	1	191	240383372683895_583757865013109	https://www.facebook.com/240383372683895/posts/583757865013109
photo	post_page_240383372683895	Olha aí a turma bonita do Colégio Marista que aprendeu a dizer não às drogas. São 180 crianças e mais 20 adultos que receberam o certificado de participação do Proerd_ nosso Programa Educacional de Resistência às Drogas_ que já formou 37 mil jovens em 2013 e formará mais 50 mil em 2014. Em seguida_ já em atividade do Programa Estado Presente_ de redução da violência_ autorizamos o início da obra para uma unidade da PM em Nova Rosa da Penha I – mais segurança para Cariacica.	https://fbcdn-photos-d-a.akamaihd.net/hphotos-ak-ash4/1454554_583236518398577_605793040_s.jpg	https://www.facebook.com/photo.php?fbid=583236518398577&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-18T23:21:54+0000	1384816914	121		18	15	3	18	6	163	240383372683895_583236531731909	https://www.facebook.com/240383372683895/posts/583236531731909
photo	post_page_240383372683895	Neste feriado_ programamos entregas e ordens de serviço do Governo do Estado em Alto Rio Novo e São Gabriel da Palha. Hoje_ anunciamos a construção da Praça de Convivência e a drenagem de ruas dos bairros Padre Pedro_ Santa Bárbara e Monte Carmelo_ em Alto Rio Novo – onde também entregamos equipamentos agrícolas. Amanhã_ em São Gabriel da Palha_ vamos inaugurar a cobertura da arquibancada do campo de futebol no Córrego Farturinha_ um campo de bocha_ cantina e iluminação do campo de futebol do Distrito de Vila Fartura_ e daremos ordem de serviço para a construção do Campo Bom de Bola II no bairro Jovelino Valentim. Temos ainda a assinatura de convênio para repasse de R$ 230 mil à Fundação Social Hospitalar Rural de São Gabriel da Palha. Aos capixabas_ desejo um bom final de semana_ de consciência no trânsito_ para que vidas sejam preservadas. Que a gente possa construir a paz em todas as áreas_ a cada dia.	https://fbcdn-photos-f-a.akamaihd.net/hphotos-ak-ash4/374511_581876221867940_2027701657_s.jpg	https://www.facebook.com/photo.php?fbid=581876221867940&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-15T17:59:08+0000	1384538348	130		13	13	0	21	6	170	240383372683895_581876228534606	https://www.facebook.com/240383372683895/posts/581876228534606
photo	post_page_240383372683895	O sistema de cobrança do ICMS sobre produtos farmacêuticos no Espírito Santo vai mudar para beneficiar a população capixaba_ os contribuintes varejistas_ atacadistas e fabricantes do Estado. Amanhã_ pela manhã_ anunciaremos publicamente as novidades. E à tarde vamos entregar à população de Vila Velha mais uma reforma e ampliação de escola estadual e uma praça saudável.	https://fbcdn-photos-e-a.akamaihd.net/hphotos-ak-prn1/1000260_581117498610479_1565492046_s.jpg	https://www.facebook.com/photo.php?fbid=581117498610479&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-14T01:05:40+0000	1384391140	88		7	6	1	17	0	112	240383372683895_581117511943811	https://www.facebook.com/240383372683895/posts/581117511943811
photo	post_page_240383372683895	Amanhã teremos novidades para todos que usam bicicleta como meio de transporte e também para o esporte e o lazer. Vamos lançar o Programa Cicloviário para a Região Metropolitana da Grande Vitória_ que inclui implantação de ciclovias_ investimentos em educação e segurança no trânsito_ além de integração aos outros modais de transporte coletivo_ como o ônibus – que vai poder transportar a “magrela”.  Confiram os detalhes amanhã_ nos canais de comunicação do Governo na internet. E uma boa semana para todos.	https://fbcdn-photos-a-a.akamaihd.net/hphotos-ak-frc1/1461390_580275708694658_220435_s.jpg	https://www.facebook.com/photo.php?fbid=580275708694658&set=pcb.580275815361314&type=1&relevant_count=2	facebook.com	2013-11-11T23:23:09+0000	1384212189	305		76	64	12	98	28	507	240383372683895_580275815361314	https://www.facebook.com/240383372683895/posts/580275815361314
photo	post_page_240383372683895	Finalizamos o processo para atender às próximas 71 localidades rurais que receberão telefonia móvel e internet 3G no Espírito Santo. Assim que assinarmos o contrato com a empresa_ começaremos a instalação das novas antenas. E seguiremos com esse Programa_ como tenho dito_ inovador_ pioneiro e genuinamente capixaba. A nossa meta é sermos o primeiro estado brasileiro com esses serviços em todos os distritos_ gerando inclusão_ oportunidades e qualidade de vida para quem vive e trabalha no campo. E por falar em campo_ daqui a pouco estaremos em Domingos Martins para inaugurar o asfaltamento da estrada que dá acesso à Cascata do Galo_ mais uma obra do Programa Caminhos do Campo_ que ultrapassará 500 km em pavimentação na nossa gestão.	https://fbcdn-photos-g-a.akamaihd.net/hphotos-ak-frc3/1450062_578807712174791_1973555680_s.jpg	https://www.facebook.com/photo.php?fbid=578807712174791&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-08T13:49:00+0000	1383918540	0		32	30	2	33	11	76	240383372683895_578807725508123	https://www.facebook.com/240383372683895/posts/578807725508123
photo	post_page_240383372683895	Esta é a nossa revista dos 1000 dias de gestão. Trabalhamos muito para manter o estado organizado_ com planejamento e administração eficiente - e parte dos resultados está nessa publicação. O link para baixar a revista está disponível na página do governo na internet_ no endereço www.es.gov.br.	https://fbcdn-photos-d-a.akamaihd.net/hphotos-ak-ash3/941294_578188708903358_304871900_s.jpg	https://www.facebook.com/photo.php?fbid=578188708903358&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-07T11:42:28+0000	1383824548	122		18	15	3	34	7	181	240383372683895_578188728903356	https://www.facebook.com/240383372683895/posts/578188728903356
photo	post_page_240383372683895	Hoje anunciamos a ampliação das vagas para estudantes capixabas que poderão aprimorar o estudo de língua estrangeira em viagem ao exterior. Serão 70 alunos da rede estadual com uma oportunidade de usar o idioma inglês ou espanhol em uma cidade fora do Brasil. Vejo essa nossa iniciativa como uma experiência singular_ uma oportunidade para expandir conhecimentos e_ ao mesmo tempo_ ampliar os horizontes desses jovens – uma experiência positiva de vida.	https://fbcdn-photos-b-a.akamaihd.net/hphotos-ak-prn2/1459967_577022869019942_254670307_s.jpg	https://www.facebook.com/photo.php?fbid=577022869019942&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-05T00:56:21+0000	1383612981	144		15	15	0	16	3	178	240383372683895_577022879019941	https://www.facebook.com/240383372683895/posts/577022879019941
photo	post_page_240383372683895	Iniciamos hoje nova etapa na prestação de serviços de saúde no Espírito Santo. Com a entrega de 60 leitos para maternidade de alto risco_ colocamos em funcionamento 100% dos serviços do Jayme Santos Neves_ o maior e mais moderno hospital do Estado. A partir de segunda-feira_ serão 424 leitos à disposição da população capixaba_ que ainda continua contando com o atendimento do Hospital Dório Silva. Caminhamos_ assim_ para acabar de vez com o drama da falta de vagas nos hospitais públicos. É parte do maior investimento em saúde de toda a história capixaba_ que inclui ainda o apoio financeiro aos hospitais filantrópicos_ a construção de 57 Unidades Saúde da Família em todas as regiões do Estado e o cofinanciamento dos serviços oferecidos pelos municípios_ entre várias outras iniciativas.	https://fbcdn-photos-h-a.akamaihd.net/hphotos-ak-frc3/1378456_575410519181177_2137438701_s.jpg	https://www.facebook.com/photo.php?fbid=575410519181177&set=a.483645238357706.1073741825.240383372683895&type=1&relevant_count=1	facebook.com	2013-11-01T15:28:44+0000	1383319724	165		29	27	2	22	6	222	240383372683895_575410532514509	https://www.facebook.com/240383372683895/posts/575410532514509
